oi,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,GS,726GS2033,GOI LOAN  7.26% 2033,102.42,102.4,103.85,102.4,102.45,3289753,32100,N, ,9,111.93,101.59
N,GS,732GS2030,GOI LOAN  7.32% 2030,104.8,104.9,104.9,104,104,2802477,26938,N, ,19,109.1,103.2
N,GS,733GS2026,GOI LOAN  7.33% 2026,103,103.35,103.35,101,101,2921769.86,28602,N, ,28,105.5,100.51
N,GS,734GS2064,GOI LOAN  7.34% 2064,100.18,100.3,100.45,99.25,99.41,5658055,56746,N, ,113,109.99,99.25
N,GS,736GS2052,GOI LOAN  7.36% 2052,99.6,100.49,101.59,99.3,101,870942.76,8661,N, ,13,114.93,99.3
N,GS,737GS2028,GOI LOAN  7.37% 2028,105.2,105.3,105.98,103.77,104.15,2092282,20000,N, ,24,107.82,102.11
N,GS,738GS2027,GOI LOAN 7.38% 2027,103.22,103,103.3,102.9,103.01,48295369.96,468953,N, ,113,108.4,100.35
N,GS,73GS2053,GOI LOAN  7.3% 2053,99.9,98,99.44,98,99,6232732.49,62795,N, ,30,110.04,98
N,GS,741GS2036,GOI LOAN  7.41% 2036,104.82,104.6,105.75,103.71,103.71,5452451.75,52305,N, ,20,112.5,101.88
N,GS,743GS2076,GOI LOAN  7.43% 2076,100.95,100.25,100.3,100.25,100.25,1333827.55,13305,N, ,31,103,98
N,GS,746GS2073,GOI LOAN  7.46% 2073,101.64,100.71,101.3,100.65,100.9,901912.7,8948,N, ,14,115,99.5
N,GS,74GS2062,GOI LOAN  7.4% 2062,100,101,101,100,100,607478.8,6073,N, ,15,114.98,97.99
N,GS,754GS2036,GOI LOAN  7.54% 2036,106.77,109.43,109.43,105.4,105.55,223995182.2,2117655,N, ,608,113.53,103.7
N,GS,75GS2034,GOI LOAN 7.50% 2034,106,105,105,103.93,103.96,4142721,39499,N, ,5,110.35,103.7
N,GS,769GS2043,GOI LOAN 7.69% 2043,106.2,106.2,106.2,106.2,106.2,21240,200,N, ,2,113,104.65
N,GS,772GS2049,GOI LOAN 7.72% 2049,105.81,108.45,108.45,108.45,108.45,10194.3,94,N, ,1,115.25,101.7
N,GS,772GS2055,GOI LOAN 7.72% 2055,106,108.8,108.8,108.7,108.7,1087.9,10,N, ,2,119.4,102.81
N,GS,795GS2032,GOI LOAN 7.95% 2032,105.56,105.01,106.02,105.01,105.6,111596.68,1057,N, ,6,112.99,105.01
N,GS,813GS2045,GOI LOAN 8.13% 2045,111.4,111.4,111.4,111.4,111.4,111.4,1,N, ,1,120.45,104.31
N,GS,817GS2044,GOI LOAN 8.17% 2044,125.78,125.78,125.78,125.78,125.78,226529.78,1801,N, ,3,126,109.31
N,GS,824GS2027,GOI LOAN 8.24%2027,102.6,102.75,103,102.12,102.2,4185201.2,40941,N, ,18,110.39,101.72
N,GS,828GS2032,GOI LOAN 8.28%2032,108,107.1,107.1,106.99,106.99,374575,3500,N, ,4,114.4,106.95
N,GS,833GS2026,GOI LOAN 8.33% 2026,101.2,102.5,102.5,101.2,101.2,107303.4,1059,N, ,3,107,98.67
N,GS,883GS2041,GOI LOAN 8.83% 2041,117,117,117,117,117,58500,500,N, ,2,129.15,111.28
N,GS,92GS2030,GOI LOAN 9.20% 2030,115.15,115,115,114.45,114.49,10941981.64,95170,N, ,23,123,110.7
N,N0,1025PATE28,PATE 10.25% 2028,99100,99100,99100,99100,99100,297300,3,N, ,2,100870.41,97500
N,N0,1075WCA28,WCAPL 10.75% 2028,9840,9839.8,9839.8,9800,9813,176584.3,18,N, ,6,10079.33,8900
N,N0,115VCCL27,VCCL 11.5% 2027 SR II,96000,96000,96000,96000,96000,288000,3,N, ,1,96000,90000
N,N0,115VCCL28,VCCL 11.5% 2028 SR C,96100,97100,97100,96700,96700,483900,5,N, ,3,101260.27,96100
N,N0,1225IFL27,IFL 12.25% 2027,9500,9100.1,9110,9100.1,9103.7,27311.1,3,N, ,3,9970,7875
N,N0,125VCCL31,VCCL 12.5% 2031,96500,96000,96000,96000,96000,480000,5,N, ,5,97900,95500
N,N0,12AFIL27,AFIL 12% 2027 SR 1,9900,9905,9905,9855.48,9855.48,306930.23,31,N, ,4,10000,8100
